Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
Anaheim Angels,45,5.36,0.699,162,1458,1143,13032,6224,4344,1746,134,182,0.978,71,7
Arizona Diamondbacks,41,4.65,0.687,162,1458,1132,12993,5979,4331,1541,107,138,0.982,17,2
Atlanta Braves,46,4.41,0.692,162,1458,1114,12963,6183,4321,1733,129,138,0.979,36,3
Baltimore Orioles,48,5.64,0.684,162,1458,1186,12900,5994,4300,1578,116,151,0.981,-21,-2
Boston Red Sox,50,4.6,0.696,162,1458,1071,13074,6114,4358,1647,109,120,0.982,38,3
Chicago Cubs,50,5.58,0.693,162,1458,1069,13092,6038,4364,1574,100,139,0.983,6,1
Chicago White Sox,41,5.18,0.685,162,1458,1130,13053,6170,4351,1686,133,190,0.978,6,1
Cincinnati Reds,45,4.69,0.702,163,1467,1017,13107,6119,4369,1639,111,156,0.982,48,4
Cleveland Indians,55,5.04,0.678,162,1458,1136,12981,6064,4327,1665,72,147,0.988,-14,-1
Colorado Rockies,49,5.54,0.684,162,1458,1103,12870,6111,4290,1727,94,176,0.985,55,5
Detroit Tigers,44,5.1,0.679,162,1458,1059,12990,6189,4330,1754,105,171,0.983,4,0
Florida Marlins,39,4.95,0.684,161,1449,1072,12867,6124,4289,1710,125,144,0.98,-11,-1
Houston Astros,45,5.83,0.678,162,1458,1039,12939,6007,4313,1561,133,149,0.978,-53,-5
Kansas City Royals,44,5.74,0.689,162,1458,1168,12954,6171,4318,1751,102,185,0.983,44,4
Los Angeles Dodgers,45,4.5,0.696,162,1458,1115,13005,6187,4335,1717,135,151,0.978,6,1
Milwaukee Brewers,46,5.07,0.693,163,1467,1144,13197,6264,4399,1747,118,187,0.981,29,3
Minnesota Twins,41,5.43,0.671,162,1458,1108,12894,5926,4298,1526,102,155,0.983,-46,-4
Montreal Expos,49,5.57,0.672,162,1458,978,12822,6109,4274,1703,132,151,0.978,-37,-3
New York Mets,47,4.56,0.696,162,1458,956,13050,6050,4350,1582,118,121,0.98,11,1
New York Yankees,46,5.06,0.693,161,1449,1068,12819,5869,4273,1487,109,132,0.981,-22,-2
Oakland Athletics,43,5.05,0.68,161,1449,1035,12918,6166,4306,1726,134,164,0.978,-46,-4
Philadelphia Phillies,51,5.12,0.693,162,1458,1148,12948,5907,4316,1491,100,136,0.983,13,1
Pittsburgh Pirates,46,5.48,0.673,162,1458,1101,13041,6307,4347,1828,132,169,0.979,-59,-5
San Diego Padres,55,5.03,0.696,162,1458,1048,13134,6185,4377,1667,141,155,0.977,-6,-1
Seattle Mariners,37,4.81,0.698,162,1458,1047,12975,6053,4325,1629,99,176,0.984,29,3
San Francisco Giants,36,4.61,0.689,162,1458,975,12999,6070,4333,1644,93,173,0.985,6,1
St. Louis Cardinals,46,4.76,0.699,162,1458,1021,12903,5936,4301,1524,111,148,0.981,43,4
Tampa Bay Devil Rays,49,5.23,0.684,161,1449,1129,12882,6226,4294,1814,118,169,0.981,10,1
Texas Rangers,41,6.01,0.667,162,1458,1102,12861,6016,4287,1594,135,162,0.978,-62,-6
Toronto Blue Jays,45,5.6,0.676,162,1458,1237,12936,6091,4312,1679,100,176,0.984,1,0
League Average,41,5.14,0.687,162,1457,1088,12973,6095,4324,1656,115,157,0.981,3,0
