Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,48,5.16,0.689,162,1458,1152,12888,5970,4296,1572,102,152,0.983,27,3,,1,-3
Atlanta Braves,43,3.88,0.69,162,1458,1057,12954,6214,4318,1770,126,166,0.98,23,2,,0,0
Baltimore Orioles,45,4.85,0.69,162,1458,1154,12927,5996,4309,1582,105,141,0.982,-10,-1,,0,-7
Boston Red Sox,53,4.59,0.691,162,1458,1045,13110,6069,4370,1588,111,132,0.982,30,3,,1,0
Chicago Cubs,44,4.73,0.681,162,1458,1118,12930,5986,4310,1550,126,137,0.979,-52,-5,,-1,-14
Chicago White Sox,39,4.35,0.679,162,1458,1183,13017,6105,4339,1663,103,158,0.983,-41,-4,,-6,-5
Cincinnati Reds,44,4.23,0.701,162,1458,1079,13077,6039,4359,1608,72,142,0.988,26,2,,4,14
Cleveland Indians,44,4.64,0.687,162,1458,1189,12897,6223,4299,1814,110,179,0.982,7,1,,0,-6
Colorado Rockies,43,4.43,0.682,162,1458,1075,12978,6134,4326,1707,101,182,0.984,22,2,,4,3
Detroit Tigers,41,4.59,0.688,162,1458,1069,12999,6110,4333,1668,109,171,0.982,37,3,,0,-11
Florida Marlins,57,4.43,0.681,162,1458,1142,12945,5940,4315,1502,123,130,0.979,-19,-2,,-1,5
Houston Astros,48,4.5,0.68,162,1458,1136,12954,6018,4318,1597,103,135,0.983,-52,-5,,0,-8
Kansas City Royals,46,5.22,0.679,162,1458,1230,12930,6019,4310,1588,121,138,0.98,-21,-2,,-9,-14
Los Angeles Angels of Anaheim,46,4.33,0.692,162,1458,1155,13044,6023,4348,1562,113,116,0.981,-37,-3,,-1,6
Los Angeles Dodgers,49,4.27,0.697,162,1458,1120,12975,6012,4325,1589,98,124,0.984,2,0,,-6,-8
Milwaukee Brewers,43,4.96,0.675,162,1458,1192,12951,5934,4317,1516,101,142,0.983,-37,-3,,0,8
Minnesota Twins,41,4.14,0.69,162,1458,1164,13074,6146,4358,1710,78,150,0.987,0,0,,0,4
New York Mets,47,4.02,0.691,162,1458,1143,13077,6111,4359,1665,87,159,0.986,31,3,,1,-7
New York Yankees,43,4.28,0.709,162,1458,1082,12981,5918,4327,1522,69,161,0.988,12,1,,1,-7
Oakland Athletics,49,3.86,0.711,162,1458,1122,12885,6098,4295,1704,99,147,0.984,31,3,,1,9
Philadelphia Phillies,42,3.95,0.698,162,1458,1178,13107,6139,4369,1687,83,158,0.986,25,2,,0,10
Pittsburgh Pirates,52,5.35,0.671,162,1458,1170,12705,6016,4235,1654,127,120,0.979,-100,-9,,-7,-6
San Diego Padres,40,3.59,0.703,162,1458,1090,13107,6067,4369,1626,72,141,0.988,38,3,,1,2
Seattle Mariners,46,4.31,0.705,162,1458,1242,12942,6081,4314,1657,110,145,0.982,28,3,,0,1
San Francisco Giants,42,3.6,0.707,162,1458,997,13149,5941,4383,1485,73,110,0.988,25,2,,0,3
St. Louis Cardinals,42,3.96,0.694,162,1458,1038,13083,6332,4361,1872,99,172,0.984,6,1,,5,11
Tampa Bay Rays,36,4.01,0.709,162,1458,1065,13083,5945,4361,1499,85,134,0.986,34,3,,4,5
Texas Rangers,48,4.24,0.704,162,1458,1130,13098,5970,4366,1499,105,133,0.982,4,0,,-2,1
Toronto Blue Jays,44,4.49,0.689,162,1458,1183,12966,6105,4322,1691,92,172,0.985,14,1,,0,-3
Washington Nationals,46,4.58,0.684,162,1458,1001,12915,6089,4305,1657,127,148,0.979,-8,-1,,0,-4
League Average,42,4.38,0.691,162,1458,1123,12992,6058,4331,1627,101,146,0.983,1,0,,0,0
,1246,4.38,0.691,4860,43740,33701,389748,181750,129916,48804,3030,4395,0.983,44,0,,0,-10
