Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,16,28.8,4.43,10,11,0.476,3.84,21,21,21,0,2,0,3,190,182,93,81,18,58,4,169,4,2,7,799,111,3.64,1.263,8.6,0.9,2.7,8,2.91,142
Atlanta Braves,16,32,4.56,13,5,0.722,4.33,18,18,18,0,1,0,6,160,149,82,77,19,59,1,148,4,2,5,674,102,4.08,1.3,8.4,1.1,3.3,8.3,2.51,114
Baltimore Orioles,16,29.5,4.53,12,7,0.632,3.98,19,19,19,0,0,0,4,172,158,86,76,22,44,1,172,4,1,8,713,96,3.7,1.174,8.3,1.2,2.3,9,3.91,114
Boston Red Sox,17,29.4,3.9,11,10,0.524,2.62,21,21,20,1,3,1,7,192.1,160,82,56,17,55,4,199,10,0,11,801,161,3.3,1.118,7.5,0.8,2.6,9.3,3.62,148
Chicago Cubs,19,29,4.68,12,7,0.632,4.19,19,19,19,0,1,0,4,169.2,148,89,79,20,73,2,175,9,0,11,730,107,4.12,1.303,7.9,1.1,3.9,9.3,2.4,136
Chicago White Sox,17,28.5,5.21,3,16,0.158,4.57,19,19,19,0,0,0,3,165.1,150,99,84,27,78,2,148,6,0,6,718,91,5.06,1.379,8.2,1.5,4.2,8.1,1.9,125
Cincinnati Reds,15,29.3,4.53,10,9,0.526,4.07,19,19,19,0,1,0,2,168,149,86,76,20,68,0,178,14,0,4,727,112,4.1,1.292,8,1.1,3.6,9.5,2.62,138
Cleveland Guardians,17,28,3.35,14,6,0.7,3.08,20,20,20,0,4,0,6,181,145,67,62,15,76,1,186,8,2,7,754,128,3.62,1.221,7.2,0.7,3.8,9.2,2.45,148
Colorado Rockies,13,28.7,6.16,4,15,0.211,6.01,19,19,19,0,0,0,1,161.2,191,117,108,24,78,0,130,2,0,7,738,81,5.01,1.664,10.6,1.3,4.3,7.2,1.67,137
Detroit Tigers,15,28.8,3.95,11,9,0.55,3.06,20,20,20,0,2,0,7,185.1,141,79,63,22,62,0,176,12,1,6,764,132,4.05,1.095,6.8,1.1,3,8.5,2.84,136
Houston Astros,23,29.1,5.38,7,14,0.333,5.13,21,21,20,1,2,1,2,186,189,113,106,18,87,1,158,9,1,9,823,78,4.31,1.484,9.1,0.9,4.2,7.6,1.82,154
Kansas City Royals,13,29.4,2.8,13,7,0.65,2.85,20,20,20,0,3,0,6,177,153,56,56,12,60,3,149,11,0,2,737,147,3.61,1.203,7.8,0.6,3.1,7.6,2.48,151
Los Angeles Angels,16,29.8,4.95,9,11,0.45,4.46,20,20,20,0,1,0,5,177.2,150,99,88,24,69,2,165,10,1,9,744,94,4.44,1.233,7.6,1.2,3.5,8.4,2.39,116
Los Angeles Dodgers,21,29.8,4.68,12,10,0.545,4.27,22,22,22,0,0,0,8,198,165,103,94,26,74,4,200,9,1,11,828,101,4.15,1.207,7.5,1.2,3.4,9.1,2.7,134
Miami Marlins,18,27,5.65,4,16,0.2,5.03,20,20,20,0,0,0,2,179,185,113,100,20,92,3,178,9,1,6,806,87,4.36,1.547,9.3,1,4.6,8.9,1.93,160
Milwaukee Brewers,17,29.1,4.11,12,6,0.667,3.63,18,18,18,0,1,0,7,161,145,74,65,20,51,3,148,8,2,4,680,118,4.08,1.217,8.1,1.1,2.9,8.3,2.9,124
Minnesota Twins,18,28.8,4.61,6,12,0.333,4.26,18,18,18,0,0,0,3,158.1,157,83,75,27,46,3,181,7,1,4,674,95,4.14,1.282,8.9,1.5,2.6,10.3,3.93,119
New York Mets,20,32,4.05,11,8,0.579,3.09,19,19,19,0,0,0,6,172,139,77,59,10,79,1,185,11,2,10,736,135,3.38,1.267,7.3,0.5,4.1,9.7,2.34,146
New York Yankees,18,29.4,3.65,14,6,0.7,3.11,20,20,20,0,1,0,11,179.2,153,73,62,16,78,1,158,9,1,9,761,131,4.06,1.286,7.7,0.8,3.9,7.9,2.03,152
Oakland Athletics,13,29.8,4.4,8,12,0.4,3.95,20,20,20,0,2,0,4,180,170,88,79,11,74,7,154,14,1,7,769,97,3.75,1.356,8.5,0.6,3.7,7.7,2.08,144
